path,category,decision,confidence,productionCritical,evidence
"CHARROPRO-BACKUP-RESTORE-VALIDATION-001/RISKS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-BACKUP-RESTORE-VALIDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-BACKUP-RESTORE-VALIDATION-001/ROLLBACK.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-BACKUP-RESTORE-VALIDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-BACKUP-RESTORE-VALIDATION-001/SUMMARY.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-BACKUP-RESTORE-VALIDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-BACKUP-RESTORE-VALIDATION-001/TEST_RESULTS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-BACKUP-RESTORE-VALIDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-BACKUP-RESTORE-VALIDATION-001/VALIDATION.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-BACKUP-RESTORE-VALIDATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-CONFIGURATION-MANAGEMENT-001/FILES_CHANGED.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-CONFIGURATION-MANAGEMENT-001/RISKS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-CONFIGURATION-MANAGEMENT-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-CONFIGURATION-MANAGEMENT-001/ROLLBACK.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-CONFIGURATION-MANAGEMENT-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-CONFIGURATION-MANAGEMENT-001/SUMMARY.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-CONFIGURATION-MANAGEMENT-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-CONFIGURATION-MANAGEMENT-001/TEST_RESULTS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-CONFIGURATION-MANAGEMENT-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-CONFIGURATION-MANAGEMENT-001/VALIDATION.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-CONFIGURATION-MANAGEMENT-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/DEVELOPMENT_ENVIRONMENT.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-CURRENT-SCORER-FUNCTIONAL-AUDIT-001/SCORER_ENTRYPOINTS.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/EMULATOR_CONFIGURATION.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/FILES_CHANGED.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/RISKS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/SETUP_GUIDE.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/STAGING_ARCHITECTURE.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/SUMMARY.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-DEVELOPMENT-INFRASTRUCTURE-FOUNDATION-001/VALIDATION.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-CALA-SCORER-001/FILES_CHANGED.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-CALA-SCORER-001/FMCH_2026_CALA_BLOCKED_SOURCE_ITEMS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-CALA-SCORER-001/FMCH_2026_CALA_FIELDID_MAP.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-CALA-SCORER-001/FMCH_2026_CALA_IMPLEMENTATION.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-CALA-SCORER-001/FMCH_2026_CALA_PUNTA_PRESERVATION.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-CALA-SCORER-001/FMCH_2026_CALA_RULE_RECONCILIATION.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-CALA-SCORER-001/FMCH_2026_CALA_TEST_EVIDENCE.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-CALA-SCORER-001/evidence/desktop-cala.png","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-CALA-SCORER-001/evidence/ipad-landscape-cala.png","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-CALA-SCORER-001/evidence/ipad-portrait-cala.png","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/DYNAMIC_RULE_RECONCILIATION.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/FIELDID_AND_BLOCKERS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/FILES_CHANGED.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/IMPLEMENTATION_SUMMARY.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/TEST_EVIDENCE.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/evidence/toro-ipad-landscape.jpg","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/evidence/toro-ipad-portrait.jpg","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/evidence/yegua-ipad-landscape.jpg","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-JINETEOS-DYNAMIC-IMPLEMENTATION-001/evidence/yegua-ipad-portrait.jpg","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-MANGANAS-PASO-IMPLEMENTATION-001/FILES_CHANGED.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-MANGANAS-PASO-IMPLEMENTATION-001/FLOREO_AND_TIMING_CONTRACT.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-MANGANAS-PASO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-MANGANAS-PASO-IMPLEMENTATION-001/IMPLEMENTATION_SUMMARY.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-MANGANAS-PASO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-MANGANAS-PASO-IMPLEMENTATION-001/RULE_RECONCILIATION_AND_BLOCKERS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-MANGANAS-PASO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-MANGANAS-PASO-IMPLEMENTATION-001/TEST_EVIDENCE.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-MANGANAS-PASO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/FIELDID_AND_BLOCKERS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/FILES_CHANGED.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/IMPLEMENTATION_SUMMARY.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/RULE_RECONCILIATION.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/TEST_EVIDENCE.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/evidence/ipad-landscape-coleadero.jpg","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/evidence/ipad-landscape-piales.jpg","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/evidence/ipad-portrait-coleadero.jpg","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/evidence/ipad-portrait-piales.jpg","FIXTURE","KEEP_CERTIFICATION_EVIDENCE","MEDIUM","false","CHARROPRO-FMCH-2026-PIALES-COLEADERO-IMPLEMENTATION-001/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-CERTIFICATION-001/AUDIT_SUMMARY.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-RESOLUTION-002/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-CERTIFICATION-001/CERTIFICATION_RECORD.json","PRODUCTIVE_DATA","KEEP_PRODUCTIVE","MEDIUM","false","tests/fmch-2026-rule-profile-certification.test.mjs (TEST_ONLY_REFERENCE), tests/rule-profile-lifecycle-authority.test.mjs (TEST_ONLY_REFERENCE), CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-RESOLUTION-002/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE), tests/fmch-2026-rule-profile-certification.test.mjs (CONFIG_REFERENCE), tests/rule-profile-lifecycle-authority.test.mjs (CONFIG_REFERENCE)"
"CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-CERTIFICATION-001/CERTIFICATION_RECORD.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-RESOLUTION-002/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-CERTIFICATION-001/EVIDENCE_MATRIX.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-RESOLUTION-002/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-CERTIFICATION-001/FILES_CHANGED.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-CERTIFICATION-001/TEST_RESULTS.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-RESOLUTION-002/FILES_CHANGED.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","no parsed consumer; path/role classification requires review"
"CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-RESOLUTION-002/OFFICIAL_SOURCE_REVIEW.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-RESOLUTION-002/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
"CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-RESOLUTION-002/SPORTING_VALUES_COMPARISON.md","DOCUMENTATION_HISTORICAL","KEEP_HISTORICAL","MEDIUM","false","CHARROPRO-FMCH-2026-RULE-PROFILE-SPORTING-BLOCKERS-RESOLUTION-002/FILES_CHANGED.md (DOCUMENTATION_ONLY_REFERENCE)"
